domain,actionSource,sourceVmUuid,dynUserGroupName,parentSessionId,destinationDeviceOsVersion,linkChangeCount,sctpAssociationId,sourceDeviceOsVersion,sourceHostName,error2,subcategoryOfApp,ipProtocol,destinationDeviceCategory,tags,dgHierarchyLevel1,uuidForRule,linkSwitches,bytesSent,tunnelIdImsi,@timestamp,nssaiSd,destinationPort,destinationCountry,configVersion,sanctionedStateOfApp,tunnel,packetsSent,sourceDynamicAddressGroup,sessionId,http2Connection,sdwanCluster,packets,sctpChunks,generateTime,clusterName,sdwanSite,destinationUser,syslog_domain,timeLogged,deviceName,sessionEndReason,@version,host,sourceDeviceModel,technologyOfApp,flowType,actionFlags,parentSessionStartTime,bytesReceived,repeatCount,sourcePort,dgHierarchyLevel3,error1,packetsReceived,saasOfApp,sourceDeviceOsFamily,destinationZone,sdwanDeviceType,outboundInterface,podNamespace,serial,tunneledApp,inboundInterface,virtualSystem,sourceDeviceVendor,sctpChunksSent,xffAddress,rule,sessionOwner,category,logAction,sequenceNumber,new_domain,sourceZone,elapsedTimeSec,action,dgHierarchyLevel2,natDestinationIp,destinationAddress,nssaiSst,destinationDynamicAddressGroup,sourceExternalDynamicList,sourceUser,sourceDeviceCategory,receiveTime,characteristicOfApp,sourceMacAddress,policyId,sctpChunksReceived,virtualSystemName,flags,containerOfApp,destinationHostName,destinationDeviceProfile,riskOfApp,offloaded,application,destinationDeviceOsFamily,natDestinationPort,logType,destinationDeviceModel,destinationMacAddress,sdwanClusterType,bytes,destinationVmUuid,highResTimestamp,serialNumber,startTime,dgHierarchyLevel4,sourceDeviceProfile,sourceCountry,hostId,podName,original_domain,sourceAddress,destinationExternalDynamicList,containerId,destinationDeviceVendor,threatContentType,natSourceIp,monitorTagImei,natSourcePort
<14>Dec 28 05:54:07 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,unknown,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,1564,0,2024-12-27T20:54:07.722Z,,5060,Korea Republic Of,2817,no,N/A,,,296387,0,,5,0,2024/12/28 05:54:07,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:07,VISION-SEOUL-FW,3,1,192.168.200.252,,unknown,0,0x8000000000000000,,1437,1,5060,0,7444489203827594707,2,insufficient-data,,untrust,,ethernet1/2,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,0,allow,0,210.207.255.47,210.207.255.47,,,,,,2024/12/28 05:54:07,1,,,0,0,0x400019,,,,unknown,no,insufficient-data,,5060,TRAFFIC,,,,3001,,2024-12-28T05:54:07.906+09:00,,2024/12/28 05:53:33,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.107,,,,end,118.128.43.82,,34026
<14>Dec 28 05:54:02 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,infrastructure,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,98,0,2024-12-27T20:54:02.724Z,,53,United States,2817,no,N/A,,,294994,0,,2,0,2024/12/28 05:54:02,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:02,VISION-SEOUL-FW,1,1,192.168.200.252,,networking,0,0x8000000000000000,,214,1,55201,0,7444489203827594705,1,dns-base,,untrust,,ethernet1/2,,023201001129,dns,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,0,allow,0,8.8.4.4,8.8.4.4,,,,,,2024/12/28 05:54:02,3,,,0,0,0x400019,"used-by-malware,has-known-vulnerability,pervasive-use",,,network-protocol,no,dns-base,,53,TRAFFIC,,,,312,,2024-12-28T05:54:02.906+09:00,,2024/12/28 05:53:30,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.199.241,,,,end,118.128.43.82,,17613
<14>Dec 28 05:54:02 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,unknown,tcp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,74,0,2024-12-27T20:54:02.723Z,,135,192.168.0.0-192.168.255.255,2817,no,N/A,,,297544,0,,1,0,2024/12/28 05:54:02,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:02,VISION-SEOUL-FW,0,1,192.168.200.252,,unknown,0,0x8000000000000000,,0,1,36558,0,7444489203827594703,1,incomplete,,trust,,ae1,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,0,allow,0,0.0.0.0,192.168.199.201,,,,seoul\administrator,,2024/12/28 05:54:02,1,,,0,0,0x19,,,,unknown,no,incomplete,,0,TRAFFIC,,,,74,,2024-12-28T05:54:02.906+09:00,,2024/12/28 05:53:54,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.252,,,,end,0.0.0.0,,0
<14>Dec 28 05:54:02 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,unknown,udp,,"[""_dateparsefailure""]",policy-deny,e90cbdfb-a61c-4c37-92ea-1fc8d7cd4431,,60,0,2024-12-27T20:54:02.723Z,,63588,Korea Republic Of,2817,no,N/A,,,0,0,,1,0,2024/12/28 05:54:02,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:02,VISION-SEOUL-FW,0,1,192.168.200.252,,unknown,0,0x8000000000000000,,0,1,38616,0,7444489203827594702,1,not-applicable,,untrust,,,,023201001129,,ethernet1/2,vsys1,,0,,intrazone-default,,any,PaloLog-forward,,,untrust,0,deny,0,0.0.0.0,118.128.43.82,,,,,,2024/12/28 05:54:02,1,,,0,0,0x0,,,,unknown,no,not-applicable,,0,TRAFFIC,,,,60,,2024-12-28T05:54:02.906+09:00,,2024/12/28 05:53:58,0,,Korea Republic Of,,,VISION-SEOUL-FW.seoulfw 1,110.45.192.90,,,,drop,0.0.0.0,,0
<14>Dec 28 05:54:02 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,unknown,udp,,"[""_dateparsefailure""]",policy-deny,e90cbdfb-a61c-4c37-92ea-1fc8d7cd4431,,60,0,2024-12-27T20:54:02.723Z,,7062,Korea Republic Of,2817,no,N/A,,,0,0,,1,0,2024/12/28 05:54:02,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:02,VISION-SEOUL-FW,0,1,192.168.200.252,,unknown,0,0x8000000000000000,,0,1,38059,0,7444489203827594701,1,not-applicable,,untrust,,,,023201001129,,ethernet1/2,vsys1,,0,,intrazone-default,,any,PaloLog-forward,,,untrust,0,deny,0,0.0.0.0,118.128.43.82,,,,,,2024/12/28 05:54:02,1,,,0,0,0x0,,,,unknown,no,not-applicable,,0,TRAFFIC,,,,60,,2024-12-28T05:54:02.906+09:00,,2024/12/28 05:53:58,0,,Korea Republic Of,,,VISION-SEOUL-FW.seoulfw 1,110.45.188.132,,,,drop,0.0.0.0,,0
<14>Dec 28 05:54:02 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,infrastructure,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,83,0,2024-12-27T20:54:02.723Z,,53,United States,2817,no,N/A,,,219536,0,,2,0,2024/12/28 05:54:02,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:02,VISION-SEOUL-FW,1,1,192.168.200.252,,networking,0,0x8000000000000000,,251,1,55728,0,7444489203827594704,1,dns-base,,untrust,,ethernet1/2,,023201001129,dns,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,0,allow,0,8.8.4.4,8.8.4.4,,,,,,2024/12/28 05:54:02,3,,,0,0,0x400019,"used-by-malware,has-known-vulnerability,pervasive-use",,,network-protocol,no,dns-base,,53,TRAFFIC,,,,334,,2024-12-28T05:54:02.906+09:00,,2024/12/28 05:53:30,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.199.242,,,,end,118.128.43.82,,59151
<14>Dec 28 05:54:02 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,unknown,tcp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,960,0,2024-12-27T20:54:02.723Z,,2201,192.168.0.0-192.168.255.255,2817,no,N/A,,,297131,0,,16,0,2024/12/28 05:54:02,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:02,VISION-SEOUL-FW,0,1,192.168.200.252,,unknown,0,0x8000000000000000,,0,1,2274,0,7444489203827594706,16,incomplete,,untrust,,ethernet1/2,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,61,allow,0,192.168.0.2,192.168.0.2,,,,,,2024/12/28 05:54:02,1,,,0,0,0x400019,,,,unknown,no,incomplete,,2201,TRAFFIC,,,,960,,2024-12-28T05:54:02.906+09:00,,2024/12/28 05:52:56,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.121,,,,end,118.128.43.82,,2317
<14>Dec 28 05:54:02 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,email,tcp,,"[""_dateparsefailure""]",tcp-rst-from-server,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,1751,0,2024-12-27T20:54:02.722Z,,993,Korea Republic Of,2817,yes,N/A,,,295825,0,,30,0,2024/12/28 05:54:02,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:02,VISION-SEOUL-FW,15,1,192.168.200.252,,saas,0,0x8000000000000000,,6338,1,60688,0,7444489203827594700,15,naver-mail,,untrust,,ethernet1/2,,023201001129,,ae2,vsys1,,0,,ALLOW-OUTBOUND,,license-expired,PaloLog-forward,,,SERVER,0,allow,0,125.209.238.153,125.209.238.153,,,,,,2024/12/28 05:54:02,3,,,0,0,0x40047a,"able-to-transfer-file,has-known-vulnerability,pervasive-use,is-saas,no-certifications",,,browser-based,no,naver-mail,,993,TRAFFIC,,,,8089,,2024-12-28T05:54:02.906+09:00,,2024/12/28 05:53:43,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.100.170,,,,end,118.128.43.82,,20076
<14>Dec 28 05:53:57 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,infrastructure,udp,,"[""_dateparsefailure""]",aged-out,cbf56f07-16ed-4bae-863c-0df8b75794bb,,99,0,2024-12-27T20:53:57.724Z,,53,192.168.0.0-192.168.255.255,2817,no,N/A,,,297212,0,,2,0,2024/12/28 05:53:57,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:53:57,VISION-SEOUL-FW,1,1,192.168.200.252,,networking,0,0x8000000000000000,,146,1,42869,0,7444489203827594699,1,dns-base,,SERVER,,ae2,,023201001129,dns,tunnel.1,vsys1,,0,,Allow-IPSEC,,any,PaloLog-forward,,,IPSecVPN,0,allow,0,0.0.0.0,192.168.100.103,,,,,,2024/12/28 05:53:57,3,,,0,0,0x19,"used-by-malware,has-known-vulnerability,pervasive-use",,,network-protocol,no,dns-base,,0,TRAFFIC,,,,245,,2024-12-28T05:53:57.906+09:00,,2024/12/28 05:53:26,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.1.253,,,,end,0.0.0.0,,0
<14>Dec 28 05:53:57 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,internet-utility,icmp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,294,0,2024-12-27T20:53:57.723Z,,0,192.168.0.0-192.168.255.255,2817,no,N/A,,,296707,0,,6,0,2024/12/28 05:53:57,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:53:57,VISION-SEOUL-FW,3,1,192.168.200.252,,general-internet,0,0x8000000000000000,,294,3,24600,0,7444489203827594697,3,untunneled,,trust,,ae1,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,0,allow,0,0.0.0.0,192.168.200.1,,,,,,2024/12/28 05:53:57,2,,,0,0,0x100019,"has-known-vulnerability,tunnel-other-application,pervasive-use",,,network-protocol,no,ping,,0,TRAFFIC,,,,588,,2024-12-28T05:53:57.906+09:00,,2024/12/28 05:53:42,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.254,,,,end,0.0.0.0,,0
