domain,actionSource,sourceVmUuid,dynUserGroupName,parentSessionId,destinationDeviceOsVersion,linkChangeCount,sctpAssociationId,sourceDeviceOsVersion,sourceHostName,error2,subcategoryOfApp,ipProtocol,destinationDeviceCategory,tags,dgHierarchyLevel1,uuidForRule,linkSwitches,bytesSent,tunnelIdImsi,@timestamp,nssaiSd,destinationPort,destinationCountry,configVersion,sanctionedStateOfApp,tunnel,packetsSent,sourceDynamicAddressGroup,sessionId,http2Connection,sdwanCluster,packets,sctpChunks,generateTime,clusterName,sdwanSite,destinationUser,syslog_domain,timeLogged,deviceName,sessionEndReason,@version,host,sourceDeviceModel,technologyOfApp,flowType,actionFlags,parentSessionStartTime,bytesReceived,repeatCount,sourcePort,dgHierarchyLevel3,error1,packetsReceived,saasOfApp,sourceDeviceOsFamily,destinationZone,sdwanDeviceType,outboundInterface,podNamespace,serial,tunneledApp,inboundInterface,virtualSystem,sourceDeviceVendor,sctpChunksSent,xffAddress,rule,sessionOwner,category,logAction,sequenceNumber,new_domain,sourceZone,elapsedTimeSec,action,dgHierarchyLevel2,natDestinationIp,destinationAddress,nssaiSst,destinationDynamicAddressGroup,sourceExternalDynamicList,sourceUser,sourceDeviceCategory,receiveTime,characteristicOfApp,sourceMacAddress,policyId,sctpChunksReceived,virtualSystemName,flags,containerOfApp,destinationHostName,destinationDeviceProfile,riskOfApp,offloaded,application,destinationDeviceOsFamily,natDestinationPort,logType,destinationDeviceModel,destinationMacAddress,sdwanClusterType,bytes,destinationVmUuid,highResTimestamp,serialNumber,startTime,dgHierarchyLevel4,sourceDeviceProfile,sourceCountry,hostId,podName,original_domain,sourceAddress,destinationExternalDynamicList,containerId,destinationDeviceVendor,threatContentType,natSourceIp,monitorTagImei,natSourcePort
<14>Dec 28 05:44:32 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,unknown,udp,,"[""_dateparsefailure""]",policy-deny,e90cbdfb-a61c-4c37-92ea-1fc8d7cd4431,,60,0,2024-12-27T20:44:32.744Z,,63588,Korea Republic Of,2817,no,N/A,,,0,0,,1,0,2024/12/28 05:44:32,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:32,VISION-SEOUL-FW,0,1,192.168.200.252,,unknown,0,0x8000000000000000,,0,1,38616,0,7444489203827593632,1,not-applicable,,untrust,,,,023201001129,,ethernet1/2,vsys1,,0,,intrazone-default,,any,PaloLog-forward,,,untrust,0,deny,0,0.0.0.0,118.128.43.82,,,,,,2024/12/28 05:44:32,1,,,0,0,0x0,,,,unknown,no,not-applicable,,0,TRAFFIC,,,,60,,2024-12-28T05:44:32.857+09:00,,2024/12/28 05:44:31,0,,Korea Republic Of,,,VISION-SEOUL-FW.seoulfw 1,110.45.192.90,,,,drop,0.0.0.0,,0
<14>Dec 28 05:44:32 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,internet-utility,tcp,,"[""_dateparsefailure""]",tcp-fin,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,429,0,2024-12-27T20:44:32.744Z,,80,192.168.0.0-192.168.255.255,2817,no,N/A,,,295955,0,,9,0,2024/12/28 05:44:32,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:32,VISION-SEOUL-FW,3,1,192.168.200.252,,general-internet,0,0x8000000000000000,,466,1,40126,0,7444489203827593636,6,web-browsing,,trust,,ae1,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,license-expired,PaloLog-forward,,,trust,0,allow,0,0.0.0.0,192.168.199.226,,,,seoul\administrator,,2024/12/28 05:44:32,4,,,0,0,0x1c,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,,browser-based,no,web-browsing,,0,TRAFFIC,,,,895,,2024-12-28T05:44:32.857+09:00,,2024/12/28 05:44:17,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.252,,,,end,0.0.0.0,,0
<14>Dec 28 05:44:32 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,management,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,45501,0,2024-12-27T20:44:32.744Z,,514,192.168.0.0-192.168.255.255,2817,no,N/A,,,294865,0,,102,0,2024/12/28 05:44:32,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:32,VISION-SEOUL-FW,0,1,192.168.200.252,,business-systems,0,0x8000000000000000,,0,1,51587,0,7444489203827593633,102,syslog,,IPSecVPN,,tunnel.1,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,75,allow,0,0.0.0.0,192.168.1.132,,,,seoul\administrator,,2024/12/28 05:44:32,2,,,0,0,0x5e,"has-known-vulnerability,pervasive-use",,,client-server,no,syslog,,0,TRAFFIC,,,,45501,,2024-12-28T05:44:32.857+09:00,,2024/12/28 05:42:47,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.252,,,,end,0.0.0.0,,0
<14>Dec 28 05:44:32 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,general-business,tcp,,"[""_dateparsefailure""]",tcp-rst-from-client,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,9861,0,2024-12-27T20:44:32.744Z,,443,United States,2817,no,N/A,,,295739,0,,60,0,2024/12/28 05:44:32,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:32,VISION-SEOUL-FW,28,1,192.168.200.252,,business-systems,0,0x8000000000000000,,22225,1,50306,0,7444489203827593635,32,paloalto-device-telemetry,,untrust,,ethernet1/2,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,license-expired,PaloLog-forward,,,trust,188,allow,0,35.184.126.116,35.184.126.116,,,,,,2024/12/28 05:44:32,1,,,0,0,0x40047a,,,,client-server,no,paloalto-device-telemetry,,443,TRAFFIC,,,,32086,,2024-12-28T05:44:32.857+09:00,,2024/12/28 05:41:09,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.251,,,,end,118.128.43.82,,4929
<14>Dec 28 05:44:32 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,infrastructure,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,101,0,2024-12-27T20:44:32.744Z,,53,United States,2817,no,N/A,,,294927,0,,2,0,2024/12/28 05:44:32,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:32,VISION-SEOUL-FW,1,1,192.168.200.252,,networking,0,0x8000000000000000,,366,1,34668,0,7444489203827593634,1,dns-base,,untrust,,ethernet1/2,,023201001129,dns,ae2,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,SERVER,0,allow,0,8.8.8.8,8.8.8.8,,,,,,2024/12/28 05:44:32,3,,,0,0,0x400019,"used-by-malware,has-known-vulnerability,pervasive-use",,,network-protocol,no,dns-base,,53,TRAFFIC,,,,467,,2024-12-28T05:44:32.857+09:00,,2024/12/28 05:44:02,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.100.171,,,,end,118.128.43.82,,47269
<14>Dec 28 05:44:32 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,unknown,udp,,"[""_dateparsefailure""]",policy-deny,e90cbdfb-a61c-4c37-92ea-1fc8d7cd4431,,60,0,2024-12-27T20:44:32.743Z,,7062,Korea Republic Of,2817,no,N/A,,,0,0,,1,0,2024/12/28 05:44:32,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:32,VISION-SEOUL-FW,0,1,192.168.200.252,,unknown,0,0x8000000000000000,,0,1,38059,0,7444489203827593631,1,not-applicable,,untrust,,,,023201001129,,ethernet1/2,vsys1,,0,,intrazone-default,,any,PaloLog-forward,,,untrust,0,deny,0,0.0.0.0,118.128.43.82,,,,,,2024/12/28 05:44:32,1,,,0,0,0x0,,,,unknown,no,not-applicable,,0,TRAFFIC,,,,60,,2024-12-28T05:44:32.857+09:00,,2024/12/28 05:44:31,0,,Korea Republic Of,,,VISION-SEOUL-FW.seoulfw 1,110.45.188.132,,,,drop,0.0.0.0,,0
<14>Dec 28 05:44:32 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,encrypted-tunnel,tcp,,"[""_dateparsefailure""]",tcp-fin,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,33841,0,2024-12-27T20:44:32.743Z,,443,United States,2817,no,N/A,,,295758,0,,1550,0,2024/12/28 05:44:32,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:32,VISION-SEOUL-FW,1075,1,192.168.200.252,,networking,0,0x8000000000000000,,947309,1,35814,0,7444489203827593630,475,ssl,,untrust,,ethernet1/2,,023201001129,,ae2,vsys1,,0,,ALLOW-OUTBOUND,,license-expired,PaloLog-forward,,,SERVER,69,allow,0,162.159.241.125,162.159.241.125,,,,,,2024/12/28 05:44:32,4,,,0,0,0x40047a,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,,browser-based,no,ssl,,443,TRAFFIC,,,,981150,,2024-12-28T05:44:32.857+09:00,,2024/12/28 05:43:06,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.100.170,,,,end,118.128.43.82,,11713
<14>Dec 28 05:44:32 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,unknown,tcp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,296,0,2024-12-27T20:44:32.743Z,,135,192.168.0.0-192.168.255.255,2817,no,N/A,,,295662,0,,4,0,2024/12/28 05:44:32,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:32,VISION-SEOUL-FW,0,1,192.168.200.252,,unknown,0,0x8000000000000000,,0,1,60388,0,7444489203827593628,4,incomplete,,trust,,ae1,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,7,allow,0,0.0.0.0,192.168.199.201,,,,seoul\administrator,,2024/12/28 05:44:32,1,,,0,0,0x19,,,,unknown,no,incomplete,,0,TRAFFIC,,,,296,,2024-12-28T05:44:32.857+09:00,,2024/12/28 05:44:16,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.252,,,,end,0.0.0.0,,0
<14>Dec 28 05:44:27 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,encrypted-tunnel,tcp,,"[""_dateparsefailure""]",tcp-rst-from-client,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,1723,0,2024-12-27T20:44:27.743Z,,443,United States,2817,no,N/A,,,295057,0,,23,0,2024/12/28 05:44:27,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:27,VISION-SEOUL-FW,11,1,192.168.200.252,,networking,0,0x8000000000000000,,4931,1,50324,0,7444489203827593627,12,ssl,,untrust,,ethernet1/2,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,license-expired,PaloLog-forward,,,trust,1,allow,0,52.137.106.217,52.137.106.217,,,,,,2024/12/28 05:44:27,4,,,0,0,0x40047a,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,,browser-based,no,ssl,,443,TRAFFIC,,,,6654,,2024-12-28T05:44:27.857+09:00,,2024/12/28 05:44:11,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.102,,,,end,118.128.43.82,,39179
<14>Dec 28 05:44:27 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,general-business,tcp,,"[""_dateparsefailure""]",tcp-fin,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,2760,0,2024-12-27T20:44:27.742Z,,443,United States,2817,no,N/A,,,294641,0,,63,0,2024/12/28 05:44:27,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:27,VISION-SEOUL-FW,43,1,192.168.200.252,,business-systems,0,0x8000000000000000,,51885,1,33636,0,7444489203827593625,20,paloalto-autofocus,,untrust,,ethernet1/2,,023201001129,,ae2,vsys1,,0,,ALLOW-OUTBOUND,,license-expired,PaloLog-forward,,,SERVER,6,allow,0,13.52.145.30,13.52.145.30,,,,,,2024/12/28 05:44:27,2,,,0,0,0x40047a,"able-to-transfer-file,has-known-vulnerability",,,browser-based,no,paloalto-autofocus,,443,TRAFFIC,,,,54645,,2024-12-28T05:44:27.857+09:00,,2024/12/28 05:44:04,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.100.170,,,,end,118.128.43.82,,44214
